### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 -929.421 1388.36 509.748 -2.30102e-05 -2.10924e-05
2212 4000 -937.124 1381.3 510.083 -2.30102e-05 -2.10924e-05
2212 4000 -1266.12 1079.68 524.383 -2.30027e-05 -2.10923e-05
2212 4000 -1271.16 1075.05 524.602 -2.30027e-05 -2.10923e-05
2212 4000 -1273.69 1072.73 524.712 -2.30027e-05 -2.10923e-05
2212 4000 -1297.41 1050.98 525.744 -2.30027e-05 -2.10923e-05
2212 4000 -1626.3 749.364 540.044 -2.29945e-05 -2.10922e-05
2212 4000 -1631.34 744.74 540.263 -2.29945e-05 -2.10922e-05
2212 4000 -1633.87 742.42 540.373 -2.29945e-05 -2.10922e-05
2212 4000 -1652.82 725.04 541.197 -2.29945e-05 -2.10922e-05
2212 4000 -1666.48 712.511 541.791 -2.29945e-05 -2.10922e-05
2212 4000 -1674.11 705.642 542.111 -2.47458e-05 -2.18357e-05
2212 4000 -1681.49 699.135 542.409 -2.47458e-05 -2.18357e-05
2212 4000 -1684.99 660.884 545.509 2.25055e-05 -3.01958e-06
2212 4000 -1681.37 660.4 545.669 2.25055e-05 -3.01958e-06
2212 4000 -1671.17 659.017 546.123 2.24589e-05 -3.06303e-06
2212 4000 -1656.64 657.035 546.77 2.24589e-05 -3.06303e-06
2212 4000 -1647.13 655.738 547.194 2.24589e-05 -3.06303e-06
2212 4000 -1639.37 654.68 547.539 2.24589e-05 -3.06303e-06
2212 4000 -1631.85 653.655 547.874 2.24589e-05 -3.06303e-06
2212 4000 -1310.63 609.853 562.174 2.24671e-05 -3.06302e-06
2212 4000 -1305.7 609.182 562.393 2.24671e-05 -3.06302e-06
2212 4000 -1303.23 608.845 562.503 2.24671e-05 -3.06302e-06
2212 4000 -1280.06 605.686 563.535 2.24671e-05 -3.06302e-06
2212 4000 -958.732 561.885 577.835 2.24746e-05 -3.06301e-06
2212 4000 -953.805 561.213 578.054 2.24746e-05 -3.06301e-06
2212 4000 -951.332 560.876 578.164 2.24746e-05 -3.06301e-06
2212 4000 -935.679 558.743 578.86 2.24746e-05 -3.06301e-06
2212 4000 -928.156 557.718 579.195 2.24746e-05 -3.06301e-06
2212 4000 -606.719 513.917 593.495 2.24816e-05 -3.063e-06
2212 4000 -601.79 513.245 593.714 2.24816e-05 -3.063e-06
2212 4000 -599.318 512.908 593.824 2.24816e-05 -3.063e-06
2212 4000 -580.793 510.384 594.648 2.24816e-05 -3.063e-06
2212 4000 -567.439 508.565 595.242 2.24816e-05 -3.063e-06
2212 4000 -560.245 507.585 595.562 2.24816e-05 -3.063e-06
