@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_111020"         -1.976831929341774e+10          1          5          5          1          1          1          0          2          0
 "C1_110300"          2.356268938320542e+07          1          5          5          1          1          0          3          0          0
 "C1_110210"          5.516409293452002e+12          1          5          5          1          1          0          2          1          0
 "C1_110120"          5.578392505803153e+11          1          5          5          1          1          0          1          2          0
 "C1_110030"         -8.683196086589008e+10          1          5          5          1          1          0          0          3          0
 "C1_104000"          3.378856772349406e+07          1          5          5          1          0          4          0          0          0
 "C1_103100"         -1.169254160523066e+10          1          5          5          1          0          3          1          0          0
 "C1_103010"          1.323439299464862e+07          1          5          5          1          0          3          0          1          0
 "C1_102200"          1.326469738792197e+12          1          5          5          1          0          2          2          0          0
 "C1_102110"         -4.090676439356018e+09          1          5          5          1          0          2          1          1          0
 "C1_102020"          1.593936674868057e+09          1          5          5          1          0          2          0          2          0
 "C1_101300"         -6.827438171343512e+13          1          5          5          1          0          1          3          0          0
 "C1_101210"          2.047303162141796e+11          1          5          5          1          0          1          2          1          0
 "C1_101120"         -1.917646026516180e+11          1          5          5          1          0          1          1          2          0
 "C1_101030"          3.393656060348181e+08          1          5          5          1          0          1          0          3          0
 "C1_100400"          1.314546198709248e+15          1          5          5          1          0          0          4          0          0
 "C1_100310"         -3.764089650464176e+12          1          5          5          1          0          0          3          1          0
 "C1_100220"          5.794263238299817e+12          1          5          5          1          0          0          2          2          0
 "C1_100130"         -1.509933904219549e+10          1          5          5          1          0          0          1          3          0
 "C1_100040"         -2.917054783663845e+09          1          5          5          1          0          0          0          4          0
 "C1_050000"         -1.319268688643715e+16          1          5          5          0          5          0          0          0          0
 "C1_041000"          7.640659907941817e+04          1          5          5          0          4          1          0          0          0
 "C1_040100"         -5.584802967319687e+07          1          5          5          0          4          0          1          0          0
 "C1_040010"          1.215297766287304e+14          1          5          5          0          4          0          0          1          0
 "C1_032000"          1.154642214218797e+13          1          5          5          0          3          2          0          0          0
 "C1_031100"         -1.030334089848063e+15          1          5          5          0          3          1          1          0          0
 "C1_031010"          5.428430352639995e+12          1          5          5          0          3          1          0          1          0
 "C1_030200"          3.921119805736954e+16          1          5          5          0          3          0          2          0          0
 "C1_030110"         -2.776683052524050e+13          1          5          5          0          3          0          1          1          0
 "C1_030020"         -3.016348780842237e+13          1          5          5          0          3          0          0          2          0
 "C1_023000"         -7.053530930536799e+02          1          5          5          0          2          3          0          0          0
 "C1_022100"          1.110461986267072e+05          1          5          5          0          2          2          1          0          0
 "C1_022010"         -2.677944765989029e+11          1          5          5          0          2          2          0          1          0
 "C1_021200"         -1.089308992509297e+07          1          5          5          0          2          1          2          0          0
 "C1_021110"         -1.468815372765534e+12          1          5          5          0          2          1          1          1          0
 "C1_021020"         -2.476137441885165e+11          1          5          5          0          2          1          0          2          0
 "C1_020300"          3.541717024652721e+08          1          5          5          0          2          0          3          0          0
 "C1_020210"          4.378186734459558e+14          1          5          5          0          2          0          2          1          0
 "C1_020120"          1.463295700163077e+12          1          5          5          0          2          0          1          2          0
 "C1_020030"         -3.103554152475622e+10          1          5          5          0          2          0          0          3          0
 "C1_014000"          4.574408266026618e+08          1          5          5          0          1          4          0          0          0
 "C1_013100"         -7.999871224099158e+10          1          5          5          0          1          3          1          0          0
 "C1_013010"          6.517425309035448e+08          1          5          5          0          1          3          0          1          0
 "C1_012200"         -2.969131944747189e+12          1          5          5          0          1          2          2          0          0
 "C1_012110"         -1.950536283123910e+11          1          5          5          0          1          2          1          1          0
 "C1_012020"          6.497815765392243e+10          1          5          5          0          1          2          0          2          0
 "C1_011300"          7.574367628643632e+14          1          5          5          0          1          1          3          0          0
 "C1_011210"          1.294537708219295e+13          1          5          5          0          1          1          2          1          0
 "C1_011120"         -6.713805260695637e+12          1          5          5          0          1          1          1          2          0
 "C1_011030"          2.177624944963586e+10          1          5          5          0          1          1          0          3          0
 "C1_010400"         -2.960007456353777e+16          1          5          5          0          1          0          4          0          0
 "C1_010310"         -3.800868900050964e+14          1          5          5          0          1          0          3          1          0
 "C1_010220"          1.898154833614881e+14          1          5          5          0          1          0          2          2          0
 "C1_010130"         -9.260653059453661e+11          1          5          5          0          1          0          1          3          0
